,Unnamed: 0,End_Year,W,L,Finish,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Start_Year,Pace
45,45,1992,41.0,41.0,3.888888888888889,27.177777777777777,82.0,241.75925925925927,41.266666666666666,87.34814814814816,0.4724074074074074,2.525925925925926,7.62962962962963,0.3254074074074073,38.73703703703704,79.71851851851852,0.4861481481481481,20.244444444444444,26.68148148148148,0.7583333333333334,14.366666666666664,29.31851851851852,43.67777777777778,24.485185185185188,8.637037037037036,5.52962962962963,15.55185185185185,22.24074074074074,105.3148148148148,1991.0,96.96666666666667
46,46,1993,41.0,41.0,3.888888888888889,27.1,82.0,241.69259259259255,40.68148148148149,85.95185185185184,0.4733703703703704,3.022222222222222,8.948148148148148,0.3312592592592592,37.666666666666664,77.0037037037037,0.4893703703703703,20.91111111111111,27.71851851851852,0.7542592592592592,13.792592592592593,29.34444444444444,43.13333333333333,24.7,8.54814814814815,5.218518518518518,15.907407407407408,23.15555555555556,105.26666666666668,1992.0,96.85
47,47,1994,41.0,41.0,3.888888888888889,27.192592592592593,82.0,241.08888888888887,39.31851851851851,84.44444444444444,0.4657777777777778,3.2925925925925927,9.896296296296295,0.3321851851851851,36.025925925925925,74.54814814814814,0.4835925925925926,19.566666666666663,26.64074074074074,0.7342222222222221,13.862962962962964,29.13703703703704,42.98888888888889,24.392592592592592,8.874074074074073,5.233333333333333,16.003703703703703,22.159259259259255,101.51111111111112,1993.0,95.41666666666667
48,48,1995,41.0,41.0,3.888888888888889,27.225925925925928,82.0,241.8925925925926,37.98148148148148,81.48518518518519,0.4662962962962962,5.488888888888888,15.296296296296296,0.3587407407407407,32.49629629629629,66.18888888888888,0.4914444444444444,19.94074074074074,27.08148148148148,0.7366296296296296,13.04074074074074,28.522222222222226,41.55925925925926,23.35925925925926,8.274074074074074,5.166666666666667,15.944444444444445,23.46666666666667,101.40370370370373,1994.0,92.80000000000001
49,49,1996,41.0,41.0,4.137931034482759,27.524137931034485,82.0,241.59655172413792,37.04827586206897,80.1896551724138,0.4622413793103448,5.882758620689655,16.06551724137931,0.3653103448275862,31.162068965517243,64.13793103448276,0.4862413793103448,19.517241379310345,26.393103448275863,0.7395862068965517,12.620689655172416,28.63448275862069,41.244827586206895,22.696551724137933,7.972413793103448,5.06551724137931,15.827586206896552,23.051724137931036,99.5,1995.0,91.39999999999999
50,50,1997,41.0,41.0,4.137931034482759,27.679310344827588,82.0,241.8413793103448,36.06896551724138,79.3,0.4550344827586207,6.044827586206897,16.79310344827586,0.3596206896551724,30.024137931034485,62.5103448275862,0.4804827586206896,18.71034482758621,25.344827586206897,0.7380689655172413,12.66896551724138,28.420689655172417,41.07931034482758,22.044827586206896,8.193103448275862,4.906896551724138,15.66206896551724,22.124137931034483,96.90344827586206,1996.0,89.86842105263158
51,51,1998,41.0,41.0,4.137931034482759,27.67586206896552,82.0,241.82758620689657,35.91034482758621,79.7103448275862,0.4507586206896552,4.403448275862069,12.710344827586209,0.3438275862068966,31.50689655172414,66.98965517241379,0.471103448275862,19.36551724137931,26.28965517241379,0.7372413793103448,13.051724137931034,28.49655172413793,41.55172413793103,22.020689655172415,8.389655172413793,5.0793103448275865,15.486206896551725,22.410344827586208,95.5758620689655,1997.0,90.3157894736842
52,52,1999,25.0,25.0,4.137931034482759,27.9,50.0,241.82758620689657,34.168965517241375,78.19655172413792,0.4372758620689655,4.455172413793103,13.16551724137931,0.3362758620689655,29.71034482758621,65.02758620689654,0.457551724137931,18.779310344827586,25.79655172413793,0.7279655172413794,12.586206896551724,29.06896551724138,41.658620689655166,20.731034482758623,8.351724137931035,4.958620689655173,15.324137931034482,22.20689655172414,91.58620689655172,1998.0,88.60526315789474
53,53,2000,41.0,41.0,4.137931034482759,27.78620689655172,82.0,241.4689655172414,36.83103448275862,82.09655172413794,0.4488275862068965,4.837931034482759,13.717241379310344,0.3528965517241379,31.986206896551725,68.37931034482759,0.4679999999999999,18.96551724137931,25.282758620689656,0.7508965517241379,12.427586206896551,30.49310344827586,42.91724137931034,22.341379310344827,7.93448275862069,5.158620689655172,15.46896551724138,23.3,97.47586206896553,1999.0,93.17368421052632
54,54,2001,41.0,41.0,4.137931034482759,27.679310344827588,82.0,242.00344827586207,35.682758620689654,80.60344827586206,0.4428620689655172,4.841379310344828,13.70689655172414,0.3518275862068965,30.844827586206897,66.8896551724138,0.4613793103448276,18.593103448275865,24.879310344827587,0.7487586206896552,11.979310344827583,30.479310344827585,42.46551724137931,21.772413793103446,7.817241379310344,5.2620689655172415,15.058620689655172,22.344827586206897,94.8103448275862,2000.0,91.3157894736842
